username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
J_F_Ken,"Beyond Frontier - BRΛVΞ

RL Logibro - Vieille France PARAMEDIC
Bloqué par J.Quatremerde et Linda Salade-Tomate-Oignon",New Eden,242,63,6559,2013-03-09 20:30:18,2021-01-13 11:58:38,8,"Frédérique #Vidal monte une brigade ""anti-bonbon"" pour lutter contre cette grande faiblesse des #étudiants, incapables de se responsabiliser face au #COVID_19. ⛔️🍬👮‍♂️
#etudiantsfantomes https://t.co/sH1d0HknHU","[{'text': 'Vidal', 'indices': [31, 37]}, {'text': 'étudiants', 'indices': [116, 126]}]"
ApprentiMystiq1,"Luc 21:36✝
""Veillez donc et priez en tout temps...""

 #TousAvecRemy 🇫🇷
https://t.co/y7oghubSOw…",France,158,108,4172,2020-05-13 18:35:48,2021-01-13 11:58:36,77,"La France ""préfère"" un certificat de #vaccination ou QRcode pour voyager au lieu du passeport d'immunité.
Le même #QRcode proposé par CédricO sur #TousAntiCovid?Ou le #CommonPass du WorldEconomicForum prônant le #GreatReset? Et on nous disait complotistes.
https://t.co/RY14E4IKGW https://t.co/0dMS2EPx4u","[{'text': 'vaccination', 'indices': [53, 65]}, {'text': 'QRcode', 'indices': [130, 137]}]"
GerardGajac,je laisse a quiconque son libre arbitre,,162,175,12126,2018-01-31 09:44:47,2021-01-13 11:58:36,77,"La France ""préfère"" un certificat de #vaccination ou QRcode pour voyager au lieu du passeport d'immunité.
Le même #QRcode proposé par CédricO sur #TousAntiCovid?Ou le #CommonPass du WorldEconomicForum prônant le #GreatReset? Et on nous disait complotistes.
https://t.co/RY14E4IKGW https://t.co/0dMS2EPx4u","[{'text': 'vaccination', 'indices': [53, 65]}, {'text': 'QRcode', 'indices': [130, 137]}]"
LegrouxVincent,le plus juste possible !,"Béthune, France",451,3445,600959,2015-08-02 17:21:49,2021-01-13 11:58:30,16,.@JeanRottner et la @MajoriteGE ont comme priorité n°1 la lutte contre le #COVID19 et la #CriseSanitaire. Nous facilitons l'accès à la #vaccination grâce aux #transports régionaux #TER #GrandEst @FluoGrandEst @TERGrandEst https://t.co/wS7MNDvqNV,"[{'text': 'COVID19', 'indices': [90, 98]}, {'text': 'CriseSanitaire', 'indices': [105, 120]}]"
TheQreatCyrano,ntm @jack,The Rabbit Hole,128,142,1399,2019-04-27 11:45:39,2021-01-13 11:58:29,77,"La France ""préfère"" un certificat de #vaccination ou QRcode pour voyager au lieu du passeport d'immunité.
Le même #QRcode proposé par CédricO sur #TousAntiCovid?Ou le #CommonPass du WorldEconomicForum prônant le #GreatReset? Et on nous disait complotistes.
https://t.co/RY14E4IKGW https://t.co/0dMS2EPx4u","[{'text': 'vaccination', 'indices': [53, 65]}, {'text': 'QRcode', 'indices': [130, 137]}]"
krystyan45,,,2426,2989,359676,2012-09-08 20:04:59,2021-01-13 11:58:27,90,"#Vaccin #Veran #Macron 
« On les aura, ces connards » : l'élégance avec laquelle le Président Macron a manifesté son soutien à Véran :
- Bon LES CONNARDS c'est quoi ce bordel ... allez colonne par un et direction la #vaccination ! https://t.co/BNvkT9DGDS","[{'text': 'Vaccin', 'indices': [14, 21]}, {'text': 'Veran', 'indices': [22, 28]}, {'text': 'Macron', 'indices': [29, 36]}]"
SosoneSteve,Papa/gamer et mari heureux 😎🏖️🎮🕹️👾,,289,219,26134,2020-10-07 10:07:04,2021-01-13 11:58:24,77,"La France ""préfère"" un certificat de #vaccination ou QRcode pour voyager au lieu du passeport d'immunité.
Le même #QRcode proposé par CédricO sur #TousAntiCovid?Ou le #CommonPass du WorldEconomicForum prônant le #GreatReset? Et on nous disait complotistes.
https://t.co/RY14E4IKGW https://t.co/0dMS2EPx4u","[{'text': 'vaccination', 'indices': [53, 65]}, {'text': 'QRcode', 'indices': [130, 137]}]"
Antiraciste2012,"Contre le racisme, pour la diversité et la solidarité internationale",France,290,572,43431,2012-06-17 21:01:58,2021-01-13 11:58:15,11,"#Vaccination Le gouvernement a octroyé le marché de la prise de rendez-vous pour les plus de 75 ans à 3 plateformes privées 
#COVID19
https://t.co/BrwSDOnr83","[{'text': 'Vaccination', 'indices': [17, 29]}]"
Emeric742,,,2,1,268,2019-03-23 12:14:21,2021-01-13 11:58:12,2,"#Covid_19 La campagne de tests @acgrenoble est lancée en #Ardèche.  4 sites accueillent les personnels à compter de ce jour.
Un grand merci aux proviseurs qui nous accueillent, au @SDISPompiers07 et aux personnels de santé pour leur investissement.
@HeleneInsel @Prefet07 https://t.co/FpbmxghEe0","[{'text': 'Covid_19', 'indices': [18, 27]}, {'text': 'Ardèche', 'indices': [75, 83]}]"
HopitalAubagne,"Hôpital public de proximité pour tous les âges de la vie, au service d’Aubagne-Pays de l’Etoile et de l’Est marseillais.","Aubagne, France",277,576,410,2018-08-08 12:31:50,2021-01-13 11:58:11,1,"INFO  ! la #vaccination en cours dans notre établissement concerne uniquement les personnels et les résidents de notre EHPAD.
Pour la vaccination des aubagnais, la création d’un centre de vaccination est en cours d’organisation à @villedaubagne. Plus de détails très vite !","[{'text': 'vaccination', 'indices': [11, 23]}]"
LegrouxVincent,le plus juste possible !,"Béthune, France",451,3445,600959,2015-08-02 17:21:49,2021-01-13 11:57:58,9,"🤫🐝
Pensée du jour...
""La formation révèle l'aptitude et le terrain révèle la compétence !""
P.A Agossou
#levallois #vaccination @villelevallois @AgnesPottierD https://t.co/KDCZQgGZG5","[{'text': 'levallois', 'indices': [117, 127]}]"
Vivifrite,So never mind the darkness We still can find a way 'Cause nothin' lasts forever Even cold November rain,MEME PAS PEUR,480,164,6837,2010-05-17 21:06:27,2021-01-13 11:57:56,113,"Les leaders européens demandent à l'#UE un #passeport vaccin pour pouvoir voyager.
L'Espagne, Belgique, Grèce sont en faveur d'un certificat de #vaccination Covid. Le Danemark introduit son passeport #Covid19 https://t.co/2obSCvbMJU https://t.co/RY14E4IKGW https://t.co/Ps4YnLK47F","[{'text': 'UE', 'indices': [52, 55]}, {'text': 'passeport', 'indices': [59, 69]}]"
LaurentZanetti,🇫🇷🇮🇹🇺🇸,,1350,170,683,2015-01-14 08:44:02,2021-01-13 11:57:54,77,"La France ""préfère"" un certificat de #vaccination ou QRcode pour voyager au lieu du passeport d'immunité.
Le même #QRcode proposé par CédricO sur #TousAntiCovid?Ou le #CommonPass du WorldEconomicForum prônant le #GreatReset? Et on nous disait complotistes.
https://t.co/RY14E4IKGW https://t.co/0dMS2EPx4u","[{'text': 'vaccination', 'indices': [53, 65]}, {'text': 'QRcode', 'indices': [130, 137]}]"
bonste,"Ingénieure Hospitalier / Génie Biologique /φchée fâchée mais pas facho / Insoumise🔻
La société française doit faire la place aux 99% qui ne sont pas riches!","Nice, France",1935,3247,93998,2009-06-24 15:26:14,2021-01-13 11:57:14,8,"Frédérique #Vidal monte une brigade ""anti-bonbon"" pour lutter contre cette grande faiblesse des #étudiants, incapables de se responsabiliser face au #COVID_19. ⛔️🍬👮‍♂️
#etudiantsfantomes https://t.co/sH1d0HknHU","[{'text': 'Vidal', 'indices': [31, 37]}, {'text': 'étudiants', 'indices': [116, 126]}]"
GabriellaBaran,,saint jean de monts,121,46,6775,2012-01-07 15:58:33,2021-01-13 11:56:56,77,"La France ""préfère"" un certificat de #vaccination ou QRcode pour voyager au lieu du passeport d'immunité.
Le même #QRcode proposé par CédricO sur #TousAntiCovid?Ou le #CommonPass du WorldEconomicForum prônant le #GreatReset? Et on nous disait complotistes.
https://t.co/RY14E4IKGW https://t.co/0dMS2EPx4u","[{'text': 'vaccination', 'indices': [53, 65]}, {'text': 'QRcode', 'indices': [130, 137]}]"
dapmatthieu,Médecin @CHRU_De_Nancy @Fac_Medecine_UL,"Nancy, Lorraine",2161,2878,17711,2010-03-26 12:27:52,2021-01-13 11:56:36,11,"La #vaccination pour les 75 ans et + a démarré au @CHRU_de_Nancy et dans le @Grand_Nancy 
 ℹ️ Dépose-minute mis en place au centre rue Lionnois @VilledeNancy pour améliorer l’accessibilité des personnes âgées.
Infos et prise de rendez-vous https://t.co/fUFSAGB28m
photo : A.Marchi https://t.co/yaxwBpj5VT","[{'text': 'vaccination', 'indices': [22, 34]}]"
infofrance3,"Bienvenue sur le compte de l'information de @france3tv.
📲 #JT1213, #JT1920 et les magazines.
✉️ Pour nous contacter : jt.reseaux@francetv.fr.",,701,4283,14574,2014-09-27 15:33:30,2021-01-13 11:56:27,1,"🔴 D'ores et déjà toutes les personnes de plus de 75 ans qui le souhaitent peuvent prendre rendez-vous sur les plateformes comme Doctoblib, Maiia et Keldoc. 
Ce qui est loin d'être évident pour tout le monde.

➡️On vous explique le mode d'emploi.

#JT1213 @France3tv #vaccination https://t.co/ZZAXA4zGGZ","[{'text': 'JT1213', 'indices': [247, 254]}, {'text': 'vaccination', 'indices': [266, 278]}]"
momotchiii,"Ingénieur électronique - Parler & Gab: @momotchi
""Le succès dans des circonstances totalitaires est une question d'opinion publique organisée et terrorisée"".",France,584,11089,11168,2014-03-02 20:38:14,2021-01-13 11:56:18,77,"La France ""préfère"" un certificat de #vaccination ou QRcode pour voyager au lieu du passeport d'immunité.
Le même #QRcode proposé par CédricO sur #TousAntiCovid?Ou le #CommonPass du WorldEconomicForum prônant le #GreatReset? Et on nous disait complotistes.
https://t.co/RY14E4IKGW https://t.co/0dMS2EPx4u","[{'text': 'vaccination', 'indices': [37, 49]}, {'text': 'QRcode', 'indices': [114, 121]}, {'text': 'TousAntiCovid', 'indices': [146, 160]}, {'text': 'CommonPass', 'indices': [167, 178]}, {'text': 'GreatReset', 'indices': [212, 223]}]"
PitRko,EMPATHY&THE ABILITY 2 USE YOUR IMAGINATION SHOULD HAVE NO LIMITS-EMMA WATSON.🇪🇺🇧🇪🇨🇦🇨🇭🇩🇪🇪🇸🇫🇷🇬🇧🇬🇷🇮🇳🇮🇹🇳🇱🇵🇹🇺🇸.🇫🇷1ST⭐⭐.🍋👃💙💛.♂️.,Somewhere In The 🇬🇧 Crowd,2297,1111,179581,2013-08-23 03:47:41,2021-01-13 11:56:12,31,"🗣L’application #TousAntiCovid permet quotidiennement de :

✔️Suivre l’évolution de l’épidémie #COVID19 
✔️Se signaler si vous est contaminé 

Et maintenant de suivre l’évolution de la campagne de #vaccination  

Installez-la vous aussi : 
https://t.co/Fp4Dweg7ES https://t.co/wIUalMtZQI","[{'text': 'TousAntiCovid', 'indices': [35, 49]}, {'text': 'COVID19', 'indices': [114, 122]}]"
maeschlimann,Maire d'Asnières-sur-Seine @Ville_Asnieres,Asnières-sur-Seine,2187,4520,706,2009-03-24 10:14:42,2021-01-13 11:55:57,5,"#Asnières choisie pour être centre de #vaccination. La reconnaissance de la qualité de notre action depuis le début de la crise sanitaire et de nos structures municipales de santé. Bravo à @MDoAeschlimann qui coordonne ce dispositif.
https://t.co/cHv0poNMmg","[{'text': 'Asnières', 'indices': [0, 9]}, {'text': 'vaccination', 'indices': [38, 50]}]"
ActuEssonne,"Politique, société, économie, sports, culture, faits divers... Le pureplayer d'info en #Essonne","Essonne, Ile-de-France",211,922,1079,2019-02-26 16:58:11,2021-01-13 11:55:43,0,"Variant anglais du #Covid_19, lycéen poignardé et cyberattaque : l'actu à midi en #IledeFrance https://t.co/AbtRVM995e via @actufr","[{'text': 'Covid_19', 'indices': [19, 28]}, {'text': 'IledeFrance', 'indices': [82, 94]}]"
largowinchcobra,no au fake news,,460,61,1844,2017-01-15 14:48:11,2021-01-13 11:55:31,113,"Les leaders européens demandent à l'#UE un #passeport vaccin pour pouvoir voyager.
L'Espagne, Belgique, Grèce sont en faveur d'un certificat de #vaccination Covid. Le Danemark introduit son passeport #Covid19 https://t.co/2obSCvbMJU https://t.co/RY14E4IKGW https://t.co/Ps4YnLK47F","[{'text': 'UE', 'indices': [52, 55]}, {'text': 'passeport', 'indices': [59, 69]}]"
GoneRefractaire,"Gauche du travail, droite des valeurs, pour une réconciliation nationale! Patriotes, unissons-nous contre l'oligarchie mondialiste! 💪🇫🇷 #LiberezRyssen",Lyon,191,79,4059,2020-03-29 18:51:25,2021-01-13 11:55:21,113,"Les leaders européens demandent à l'#UE un #passeport vaccin pour pouvoir voyager.
L'Espagne, Belgique, Grèce sont en faveur d'un certificat de #vaccination Covid. Le Danemark introduit son passeport #Covid19 https://t.co/2obSCvbMJU https://t.co/RY14E4IKGW https://t.co/Ps4YnLK47F","[{'text': 'UE', 'indices': [52, 55]}, {'text': 'passeport', 'indices': [59, 69]}]"
stephanelevy925,,,2228,664,67974,2016-08-29 08:19:33,2021-01-13 11:55:13,31,"🗣L’application #TousAntiCovid permet quotidiennement de :

✔️Suivre l’évolution de l’épidémie #COVID19 
✔️Se signaler si vous est contaminé 

Et maintenant de suivre l’évolution de la campagne de #vaccination  

Installez-la vous aussi : 
https://t.co/Fp4Dweg7ES https://t.co/wIUalMtZQI","[{'text': 'TousAntiCovid', 'indices': [35, 49]}, {'text': 'COVID19', 'indices': [114, 122]}]"
stephanelevy925,,,2228,664,67974,2016-08-29 08:19:33,2021-01-13 11:55:08,12,"Mais quel faux-cul ce @RenaudMuselier : il critique en caricaturant tout ce que fait le gouvt (à l'instant /@BFMTV ) et ose dire ensuite ""nous on est là pour l'aider"". 😡

Jamais je ne voterai pour ce #LR raoultien dont le comportement est à gerber depuis le début du #Covid_19 🤮",[]
LegrouxVincent,le plus juste possible !,"Béthune, France",451,3445,600959,2015-08-02 17:21:49,2021-01-13 11:54:53,6,"Sur la #vaccination Christian #Jacob se dit « affolé de ce qui se passe ». « Rien n’a été préparé, rien n’a eté anticipé ». #voeuxLR","[{'text': 'vaccination', 'indices': [26, 38]}, {'text': 'Jacob', 'indices': [49, 55]}]"
jlmmlc,,,1613,842,96746,2015-05-08 13:52:57,2021-01-13 11:54:35,9,"🤫🐝
Pensée du jour...
""La formation révèle l'aptitude et le terrain révèle la compétence !""
P.A Agossou
#levallois #vaccination @villelevallois @AgnesPottierD https://t.co/KDCZQgGZG5","[{'text': 'levallois', 'indices': [117, 127]}]"
CharlieBismuth,Les vrais sachent (et chassent) ─ Terrien de souche® ─ Intermittent Twitter ─ 0% bullshit ─ Autodiag. #OSINT #GeoINT #InfoSec #Jihad #OnlineHate #Disinformation,🇫🇷 Wilaya Faransa,345,10773,9491,2017-05-13 10:44:27,2021-01-13 11:54:27,9,"Le site https://t.co/W8PirKxmqH 🇫🇷  s'enrichit.
Outre les informations sur sites de vaccination, il intègre du #crowdsourcing ( info founie par les usagers) pour porter à connaissance le niveau d'affluence dans les centres de dépistages.
#vaccination #test #covid #data https://t.co/7WCES6wD69",[]
GuzmanLaetitia,,,1046,577,128577,2016-10-27 09:58:50,2021-01-13 11:54:10,4,"👉 Le CIB sera attentif à l'engagement pris par @CHUdeToulouse pour la reconnaissance des infirmiers de bloc.
👉Pour rappel, une enquête judiciaire est ouverte pour défaut de protect° et sécurité des infirmiers de bloc. 
#Covid_19 
🏥⚖️

https://t.co/kUYo5WxoP9

@DIVIZIO1",[]
PascallonPierre,,,215,85,6929,2020-07-21 04:02:27,2021-01-13 11:53:57,7,"[#SudRadio] @G_Peltier ""J'attends du gouvernement des annonces très claires : de la transparence sur la #vaccination, la décentralisation vaccinale, et un choc logistique, avec l'armée française, les pharmaciens et les infirmiers"" #COVID19france 

📺https://t.co/dpKl19WDqS https://t.co/3txZTW2fAi","[{'text': 'SudRadio', 'indices': [15, 24]}, {'text': 'vaccination', 'indices': [118, 130]}]"
PGriselin,"Nouveau maire de l'Hérault, mes valeurs vont vers une France forte et indépendante. Mes tweets n'engagent que moi et je suis @lesRepublicains 
#LR #JeRejoinsLR",Canton de Lunel / Hérault,148,85,719,2020-08-12 15:06:33,2021-01-13 11:53:55,7,"[#SudRadio] @G_Peltier ""J'attends du gouvernement des annonces très claires : de la transparence sur la #vaccination, la décentralisation vaccinale, et un choc logistique, avec l'armée française, les pharmaciens et les infirmiers"" #COVID19france 

📺https://t.co/dpKl19WDqS https://t.co/3txZTW2fAi","[{'text': 'SudRadio', 'indices': [15, 24]}, {'text': 'vaccination', 'indices': [118, 130]}]"
PascallonPierre,,,215,85,6929,2020-07-21 04:02:27,2021-01-13 11:53:53,7,"[#SudRadio] @G_Peltier ""Ce qui est certain, c'est que tout ce qui s'annonce dans notre pays est dû à la lenteur bureaucratique administrative inédite de la France sur la stratégie de #vaccination"" #reconfinement #CouvreFeu #COVID19 #Castex

📺https://t.co/dpKl19WDqS https://t.co/8QkIdL4CNH","[{'text': 'SudRadio', 'indices': [15, 24]}]"
LillyTor,À chaque jour suffit sa peine.,Paris,105,86,6124,2017-11-12 00:08:05,2021-01-13 11:53:46,113,"Les leaders européens demandent à l'#UE un #passeport vaccin pour pouvoir voyager.
L'Espagne, Belgique, Grèce sont en faveur d'un certificat de #vaccination Covid. Le Danemark introduit son passeport #Covid19 https://t.co/2obSCvbMJU https://t.co/RY14E4IKGW https://t.co/Ps4YnLK47F","[{'text': 'UE', 'indices': [52, 55]}, {'text': 'passeport', 'indices': [59, 69]}]"
PGriselin,"Nouveau maire de l'Hérault, mes valeurs vont vers une France forte et indépendante. Mes tweets n'engagent que moi et je suis @lesRepublicains 
#LR #JeRejoinsLR",Canton de Lunel / Hérault,148,85,719,2020-08-12 15:06:33,2021-01-13 11:53:46,7,"[#SudRadio] @G_Peltier ""Ce qui est certain, c'est que tout ce qui s'annonce dans notre pays est dû à la lenteur bureaucratique administrative inédite de la France sur la stratégie de #vaccination"" #reconfinement #CouvreFeu #COVID19 #Castex

📺https://t.co/dpKl19WDqS https://t.co/8QkIdL4CNH","[{'text': 'SudRadio', 'indices': [15, 24]}]"
infofrance3,"Bienvenue sur le compte de l'information de @france3tv.
📲 #JT1213, #JT1920 et les magazines.
✉️ Pour nous contacter : jt.reseaux@francetv.fr.",,701,4283,14574,2014-09-27 15:33:30,2021-01-13 11:53:45,0,"🔴 #Nancy est une des rares villes à pouvoir débuter la campagne de #vaccination dès aujourd'hui.
Et déjà, il y avait du monde prêt à recevoir la piqûre.

#JT1213 @France3tv https://t.co/tPklK9ddnz","[{'text': 'Nancy', 'indices': [2, 8]}, {'text': 'vaccination', 'indices': [67, 79]}, {'text': 'JT1213', 'indices': [154, 161]}]"
WakeUpFrance31,,,41,102,19412,2020-03-25 15:53:00,2021-01-13 11:53:29,113,"Les leaders européens demandent à l'#UE un #passeport vaccin pour pouvoir voyager.
L'Espagne, Belgique, Grèce sont en faveur d'un certificat de #vaccination Covid. Le Danemark introduit son passeport #Covid19 https://t.co/2obSCvbMJU https://t.co/RY14E4IKGW https://t.co/Ps4YnLK47F","[{'text': 'UE', 'indices': [52, 55]}, {'text': 'passeport', 'indices': [59, 69]}]"
PascallonPierre,,,215,85,6929,2020-07-21 04:02:27,2021-01-13 11:53:07,17,"#Vaccination : nous devons accélérer !!
❌ 87% des doses de vaccin aujourd'hui disponibles sur notre territoire dorment encore dans les supercongélateurs...
❌ Nous attendons toujours la réponse du ministre O. Véran ... 

Retrouvez ci-dessous nos propositions @Republicains_An ⤵️ https://t.co/dajlwcBqwE","[{'text': 'Vaccination', 'indices': [16, 28]}]"
FabienVergier,"Être vivant,Animal, Humain,Papa,Curieux,Aimant la justice et la beauté des choses
Surtout argumentez","Nyons, France",578,296,14331,2015-08-13 18:20:13,2021-01-13 11:53:06,3,"Vaccins contre la #Covid_19 : questions et réponses
Un texte de la Société de Pathologie Infectieuse de Langue Française à destination des soignants
11 janvier 2021
@SPILF_ 
https://t.co/PMjjZZPQIc https://t.co/O4dbpzBPRz","[{'text': 'Covid_19', 'indices': [32, 41]}]"
suvelor,“L’interprétation de la réalité est une fiction vide de sens. » Nietzsche,"Toulon, France",1089,341,62898,2013-02-02 02:16:09,2021-01-13 11:53:04,113,"Les leaders européens demandent à l'#UE un #passeport vaccin pour pouvoir voyager.
L'Espagne, Belgique, Grèce sont en faveur d'un certificat de #vaccination Covid. Le Danemark introduit son passeport #Covid19 https://t.co/2obSCvbMJU https://t.co/RY14E4IKGW https://t.co/Ps4YnLK47F","[{'text': 'UE', 'indices': [52, 55]}, {'text': 'passeport', 'indices': [59, 69]}]"
bo_chart,". Combattre les inégalités,la corruption,l'incompétence,Cartésien","Loiret, Centre",8384,9095,516786,2015-01-05 17:36:22,2021-01-13 11:52:41,90,"#Vaccin #Veran #Macron 
« On les aura, ces connards » : l'élégance avec laquelle le Président Macron a manifesté son soutien à Véran :
- Bon LES CONNARDS c'est quoi ce bordel ... allez colonne par un et direction la #vaccination ! https://t.co/BNvkT9DGDS","[{'text': 'Vaccin', 'indices': [14, 21]}, {'text': 'Veran', 'indices': [22, 28]}, {'text': 'Macron', 'indices': [29, 36]}]"
PinsolleT,PhD Medical Bacteriology,"Paris, France",200,1853,21745,2020-01-14 14:41:30,2021-01-13 11:52:34,113,"Les leaders européens demandent à l'#UE un #passeport vaccin pour pouvoir voyager.
L'Espagne, Belgique, Grèce sont en faveur d'un certificat de #vaccination Covid. Le Danemark introduit son passeport #Covid19 https://t.co/2obSCvbMJU https://t.co/RY14E4IKGW https://t.co/Ps4YnLK47F","[{'text': 'UE', 'indices': [52, 55]}, {'text': 'passeport', 'indices': [59, 69]}]"
_Pat_Sim_,,,2456,2411,42270,2019-04-13 10:01:42,2021-01-13 11:52:23,8,#Vaccination : Un échec indéniable qui risque de coûter très cher à @olivierveran. https://t.co/8M3TwsZLjc,"[{'text': 'Vaccination', 'indices': [0, 12]}]"
abcdecocris,,,386,45,1475,2012-11-13 23:34:10,2021-01-13 11:52:15,7,"🚨🚨
Depuis des semaines des équipes se chargent de vous informer
#France
#Covid_19 
#medias #France
#TousContreMacron
#MacronDestitution 
#Confinement
#Resistance #Paris 
#occitanie #Toulouse #raoult 
#Montpellier #Herault #Beziers #Gard #nimes #perpignan
#Métropolitain #pcrtest https://t.co/5SclkE9wZE","[{'text': 'France', 'indices': [80, 87]}, {'text': 'Covid_19', 'indices': [88, 97]}, {'text': 'medias', 'indices': [99, 106]}, {'text': 'France', 'indices': [107, 114]}, {'text': 'TousContreMacron', 'indices': [115, 132]}]"
CATELAN89,,,118,73,1316,2012-04-19 18:13:45,2021-01-13 11:52:03,611,"Début de #vaccination raté : #Macron foudroie #Veran dans les médias, mais lui envoie en coulisse un sms d’encouragement : “On les aura, ces connards”. 
Tout est dit !

src : Le Point

https://t.co/S47FYRYCvC","[{'text': 'vaccination', 'indices': [29, 41]}, {'text': 'Macron', 'indices': [49, 56]}, {'text': 'Veran', 'indices': [66, 72]}]"
Artanagot,,,433,523,58746,2011-08-06 09:14:21,2021-01-13 11:51:40,113,"Les leaders européens demandent à l'#UE un #passeport vaccin pour pouvoir voyager.
L'Espagne, Belgique, Grèce sont en faveur d'un certificat de #vaccination Covid. Le Danemark introduit son passeport #Covid19 https://t.co/2obSCvbMJU https://t.co/RY14E4IKGW https://t.co/Ps4YnLK47F","[{'text': 'UE', 'indices': [52, 55]}, {'text': 'passeport', 'indices': [59, 69]}]"
PaulArgaud,Marseillais et amoureux de sa ville 💙⚪️ #allezlom de droite et fière de mes valeurs 🇫🇷 #droite #lr #francejetaime,"Marseille, France",304,46,215,2019-08-11 10:41:59,2021-01-13 11:51:37,59,"Une seule campagne m’intéresse aujourd’hui, celle de la #vaccination de tous les Français ! 
C’est une guerre de mouvement, pas une guerre de tranchées : on ne la gagnera pas en restant dans un bunker sans écouter et mobiliser tous ceux qui veulent aider ! https://t.co/li5mYFcajD","[{'text': 'vaccination', 'indices': [76, 88]}]"
Zorica47814396,"Ma fille, ma vie 🧚‍♀️...Et il y'a aussi mes origines slaves,dont je suis très fière...En marche depuis la 1ère heure, voyons encore plus grand ! :)","Paris, France",1268,1125,35790,2018-02-07 20:54:38,2021-01-13 11:51:29,12,"Mais quel faux-cul ce @RenaudMuselier : il critique en caricaturant tout ce que fait le gouvt (à l'instant /@BFMTV ) et ose dire ensuite ""nous on est là pour l'aider"". 😡

Jamais je ne voterai pour ce #LR raoultien dont le comportement est à gerber depuis le début du #Covid_19 🤮",[]
GerardGajac,je laisse a quiconque son libre arbitre,,162,175,12126,2018-01-31 09:44:47,2021-01-13 11:51:26,113,"Les leaders européens demandent à l'#UE un #passeport vaccin pour pouvoir voyager.
L'Espagne, Belgique, Grèce sont en faveur d'un certificat de #vaccination Covid. Le Danemark introduit son passeport #Covid19 https://t.co/2obSCvbMJU https://t.co/RY14E4IKGW https://t.co/Ps4YnLK47F","[{'text': 'UE', 'indices': [52, 55]}, {'text': 'passeport', 'indices': [59, 69]}]"
Vally711,,,135,33,2153,2020-09-29 08:49:27,2021-01-13 11:51:13,7,"🚨🚨
Depuis des semaines des équipes se chargent de vous informer
#France
#Covid_19 
#medias #France
#TousContreMacron
#MacronDestitution 
#Confinement
#Resistance #Paris 
#occitanie #Toulouse #raoult 
#Montpellier #Herault #Beziers #Gard #nimes #perpignan
#Métropolitain #pcrtest https://t.co/5SclkE9wZE","[{'text': 'France', 'indices': [80, 87]}, {'text': 'Covid_19', 'indices': [88, 97]}, {'text': 'medias', 'indices': [99, 106]}, {'text': 'France', 'indices': [107, 114]}, {'text': 'TousContreMacron', 'indices': [115, 132]}]"
PaulArgaud,Marseillais et amoureux de sa ville 💙⚪️ #allezlom de droite et fière de mes valeurs 🇫🇷 #droite #lr #francejetaime,"Marseille, France",304,46,215,2019-08-11 10:41:59,2021-01-13 11:51:04,69,"La #vaccination est la lumière au bout du tunnel du #COVID19 ! Nous n’avons pas le droit à l’erreur, ni au retard, et les @Regionsdefrance veulent aider!Retrouvez mon interview pour @LePoint 👇https://t.co/7q2XrD11mG","[{'text': 'vaccination', 'indices': [23, 35]}, {'text': 'COVID19', 'indices': [72, 80]}]"
karine_picot,,,327,151,9292,2020-07-24 20:05:27,2021-01-13 11:50:58,113,"Les leaders européens demandent à l'#UE un #passeport vaccin pour pouvoir voyager.
L'Espagne, Belgique, Grèce sont en faveur d'un certificat de #vaccination Covid. Le Danemark introduit son passeport #Covid19 https://t.co/2obSCvbMJU https://t.co/RY14E4IKGW https://t.co/Ps4YnLK47F","[{'text': 'UE', 'indices': [52, 55]}, {'text': 'passeport', 'indices': [59, 69]}]"
PascallonPierre,,,215,85,6929,2020-07-21 04:02:27,2021-01-13 11:50:31,59,"Une seule campagne m’intéresse aujourd’hui, celle de la #vaccination de tous les Français ! 
C’est une guerre de mouvement, pas une guerre de tranchées : on ne la gagnera pas en restant dans un bunker sans écouter et mobiliser tous ceux qui veulent aider ! https://t.co/li5mYFcajD","[{'text': 'vaccination', 'indices': [76, 88]}]"
OnyxCokerLouca,"Je suis l'heureux propriétaire d'un humain qui se fait appeler Loucatezate... Ne me demandez pas pourquoi, on choisi ses amis, on ne choisi pas son humain😢😉","Dijon, France",221,32,4433,2020-07-08 15:42:30,2021-01-13 11:50:27,3,"🔴 Stratégie vaccinale : la France accélère.

#VaccinCovid https://t.co/BLDpjQ5pVT","[{'text': 'VaccinCovid', 'indices': [62, 74]}]"
AthenaisMchl,M1 droit JPP ✩ cofondatrice d’@assaslgbt ✩ présidente du parti @allonsenfants_ ✩ chevalier jedi ✩ conseillère du 8e arrondissement de Paris,"Paris, France",364,1768,3486,2018-11-05 07:43:52,2021-01-13 11:50:14,5,"PROJET DE CENTRE DE #VACCINATION CONTRE LA #COVID19 
La Mairie du 8e arrondissement recherche rapidement des #medecins et #infirmiers. Si vous êtes concernés et volontaires, merci de vous manifester en message privé. 

#apartager #santepublique #vaccination #paris8 https://t.co/h7ZLZcQys4","[{'text': 'VACCINATION', 'indices': [39, 51]}, {'text': 'COVID19', 'indices': [62, 70]}, {'text': 'medecins', 'indices': [128, 137]}]"
